occurred_on,channel,content,customer_external_id
2025-07-01,WhatsApp,"Seria muito útil ter integração com o Google Calendar. Assim quando agendamos um retorno com o cliente, já bloquearia a agenda do atendente automaticamente.",CUST-012
2025-07-01,Email,"Sugiro implementar alertas baseados em padrões. Se um cliente que normalmente abre 2 tickets por mês de repente abre 8, algo está errado. Queremos ser notificados automaticamente nesses casos.",CUST-023
2025-07-02,Telefone,Estou esperando resposta do suporte técnico há 5 dias úteis. Abri o chamado #4521 sobre um problema crítico na nossa integração e até agora nenhum retorno. Nosso SLA contratual é de 24h. Precisamos de uma posição.,CUST-028
2025-07-03,Email,"Bom dia. Venho novamente reportar falhas na integração com WhatsApp. Notamos que mensagens com imagens e áudios não estão sendo recebidas pela plataforma, apenas texto. Isso compromete muito nosso fluxo de atendimento pois muitos clientes enviam fotos de produtos.",CUST-016
2025-07-03,Chat,"Mano, o sistema tá muito lerdo. Pra abrir uma conversa demora uns 20 seg. Pra transferir pro outro setor mais 15 seg. Os clientes ficam putos esperando. Dá pra melhorar isso?",CUST-017
2025-07-05,Telefone,URGENTE: A integração do WhatsApp parou de funcionar desde ontem à noite. Nossos clientes estão mandando mensagem e a gente não recebe nada. Já reiniciamos tudo e nada. Precisamos resolver isso HOJE pq estamos perdendo vendas.,CUST-035
2025-07-07,WhatsApp,"Oi, meu plano inclui suporte por telefone ou só por email e chat? Quero entender os canais de suporte disponíveis pra mim.",CUST-027
2025-07-07,Email,Preciso de um relatório mensal automático enviado por email para a diretoria. Tem como agendar o envio de relatórios? Quais métricas posso incluir?,CUST-033
2025-07-09,WhatsApp,"Gente, paguei pelo plano Enterprise justamente pelo suporte prioritário. Mas toda vez que preciso de ajuda demora dias pra responderem. Que suporte prioritário é esse? Estou muito decepcionado.",CUST-003
2025-07-11,WhatsApp,"Bom dia, depois da manutenção do fim de semana, várias conversas estão aparecendo sem o histórico completo. Só mostra as últimas 2 mensagens de cada conversa. O restante sumiu. Nossos agentes precisam do contexto completo para atender.",CUST-003
2025-07-11,Telefone,"Oi pessoal, tive uma ideia que acho que seria muito útil: um dashboard que mostrasse o sentimento geral dos clientes ao longo do tempo. Tipo, poder ver se os clientes estão mais satisfeitos ou insatisfeitos neste mês comparado ao anterior. Acho que isso ajudaria muito a gente a ser proativo.",CUST-035
2025-07-12,WhatsApp,"Olá, estou vendo uma cobrança de R$ 200 a mais na nossa fatura referente a um módulo que nunca contratamos. Podem verificar e corrigir? Segue o número da fatura: INV-2025-0847.",CUST-001
2025-07-12,WhatsApp,Uma sugestão: integração com o Notion ou Confluence para que resoluções de tickets virem automaticamente artigos na base de conhecimento. Isso reduziria tickets repetitivos.,CUST-018
2025-07-12,Telefone,"Oi, meus atendentes usam bastante o celular pra trabalhar e a versão web mobile é muito ruim. Seria essencial ter um app nativo com notificações push. Nossos concorrentes já oferecem isso.",CUST-023
